	aay	Ama	Ance	Antp	apt	Blimp-1	bmm	bowl	brk	Btk29A	bun	cad	CenG1A	CG10479	CG11208	CG14427	CG17724	CG17786	CG43394	CG8147	cnc	croc	Cyp310a1	D	dan	danr	Dfd	disco	Doc2	Doc3	dpn	edl	ems	erm	Esp	E(spl)m5-HLH	eve	exex	fj	fkh	ftz	gk	gt	h	hb	hkb	htl	Ilp4	ImpE2	ImpL2	ken	kni	knrl	Kr	lok	Mdr49	Mes2	MESR3	mfas	Nek2	NetA	noc	nub	numb	oc	odd	peb	prd	pxb	rau	rho	run	sna	srp	tkv	tll	toc	Traf4	trn	tsh	twi	zen	zen2	zfh1
2778	0.830593	0.203792	0.056097	0.040304	0.49013100000000004	0.247741	0.189468	0.308327	0.284677	0.45478	0.48822299999999996	0.570816	0.176302	0.178181	0.23526599999999998	0.20607899999999998	0.026736000000000003	0.146606	0.053887	0.950783	0.235434	0.21893600000000002	0.273357	0.073487	0.11084400000000001	0.09362999999999999	0.208429	0.494058	0.693084	1.1079620000000001	0.043038	0.271068	0.183956	0.308814	0.30991399999999997	0.163661	0.023663	0.8301370000000001	0.11544000000000001	0.8558629999999999	0.033124	0.239994	0.057378	0.162413	0.13669800000000001	0.435518	0.064589	0.041161	0.14409	0.27176500000000003	0.112105	0.06497	0.155896	0.284941	0.145768	0.11475999999999999	0.238815	0.33960500000000005	0.282977	0.613598	0.153973	0.05753	0.127638	0.16080899999999998	0.181365	0.048684	1.7658900000000002	0.036787	0.262816	0.42857399999999995	0.185506	0.111703	0.12578699999999998	1.1008790000000002	0.609801	0.324732	0.041717000000000004	0.374243	0.10249000000000001	0.094149	0.069375	0.03882	0.459595	0.5576770000000001
2779	0.868508	0.14993800000000002	0.069386	0.07734500000000001	0.813973	0.246405	0.266752	0.38924699999999995	0.389206	0.597858	0.41236300000000004	0.387856	0.142984	0.100339	0.215612	0.175072	0.026736000000000003	0.106455	0.047156	1.006165	0.204254	0.174299	0.181921	0.017738	0.11878	0.083143	0.207914	0.56188	0.443213	0.6994229999999999	0.053683	0.27705	0.147611	0.14540899999999998	0.25415	0.17999	0.023934999999999998	0.596459	0.117871	0.811867	0.032026	0.19566	0.040402	0.10247200000000001	0.11013699999999998	0.356959	0.083641	0.038848	0.149368	0.317132	0.08186900000000001	0.07057100000000001	0.139593	0.313073	0.10201	0.10373399999999999	0.211299	0.25827100000000003	0.247029	0.699124	0.10557799999999999	0.061857	0.141189	0.137441	0.179794	0.030518	1.1096979999999999	0.039089	0.266982	0.709994	0.190052	0.107142	0.086216	0.67427	0.735097	0.34367	0.057273000000000004	0.534334	0.07570700000000001	0.09227	0.09466000000000001	0.038982	0.388083	0.42717299999999997
2780	1.073286	0.131393	0.049960000000000004	0.065371	0.813973	0.257222	0.217016	0.359691	0.389206	0.490075	0.503149	0.385955	0.13351400000000002	0.134812	0.199633	0.179068	0.026736000000000003	0.10346199999999998	0.040091	0.794848	0.183667	0.231356	0.273357	0.058641	0.11498199999999999	0.093611	0.210873	0.5407390000000001	0.518193	0.821629	0.050993000000000004	0.338233	0.20719200000000002	0.177755	0.189924	0.18101099999999998	0.02421	0.476271	0.117871	0.816287	0.036441	0.21879400000000002	0.038199000000000004	0.15396300000000002	0.12029400000000001	0.392063	0.089602	0.042553	0.13730699999999998	0.315861	0.10489000000000001	0.044029	0.147393	0.316727	0.089077	0.131072	0.20516700000000002	0.21581799999999998	0.241684	0.652367	0.137706	0.074138	0.155797	0.138984	0.145758	0.030430000000000002	1.3357139999999998	0.0351	0.17128	0.731061	0.21882600000000002	0.099896	0.099843	0.999526	0.732246	0.344121	0.060751	0.439566	0.120467	0.096301	0.086879	0.038048	0.302544	0.42717299999999997
2781	0.950641	0.120538	0.049960000000000004	0.11926099999999999	0.592482	0.240168	0.325949	0.359691	0.316448	0.47893900000000006	0.365255	0.30837	0.09138500000000001	0.129223	0.208271	0.129761	0.026432999999999998	0.08522	0.042369	0.794848	0.165213	0.18901099999999998	0.152658	0.12225699999999999	0.113962	0.102469	0.20730500000000002	0.587864	0.458034	0.741309	0.048169	0.251258	0.226789	0.184617	0.17641700000000002	0.18101099999999998	0.024121	0.476271	0.11264600000000001	0.8659819999999999	0.031467	0.213619	0.054189	0.20291700000000001	0.122834	0.349695	0.10990899999999999	0.042553	0.141743	0.400816	0.102952	0.064066	0.142179	0.297584	0.10394	0.132326	0.255944	0.319339	0.414459	0.646993	0.13481700000000002	0.068935	0.135191	0.13681300000000002	0.154927	0.042016000000000005	0.725193	0.032154	0.17128	0.6257689999999999	0.21994699999999998	0.08505900000000001	0.096113	1.066545	0.742133	0.384258	0.054340999999999993	0.65003	0.12365999999999999	0.091011	0.082777	0.04131	0.444679	0.524921
2782	1.092152	0.14357	0.100246	0.10846199999999999	0.9451809999999999	0.315782	0.23560100000000003	0.33534200000000003	0.41001899999999997	0.451784	0.237842	0.372188	0.10908399999999999	0.155833	0.230879	0.249745	0.049073	0.11335799999999999	0.050111	0.509126	0.139409	0.192027	0.258009	0.107839	0.114598	0.105728	0.199045	0.78462	0.42260600000000004	0.759807	0.046025	0.336437	0.173537	0.233364	0.286542	0.096149	0.033315	0.665171	0.12745599999999999	0.810775	0.032688999999999996	0.190737	0.049817	0.241781	0.16154000000000002	0.453841	0.102197	0.040826999999999995	0.163226	0.313672	0.11841199999999999	0.08101599999999999	0.162416	0.297983	0.078983	0.100244	0.149775	0.193143	0.319739	0.425734	0.129737	0.057829	0.108608	0.11622	0.163499	0.056554999999999994	1.1461729999999999	0.039103	0.158606	0.554009	0.22817800000000002	0.081678	0.115916	0.871966	0.6978449999999999	0.388153	0.048267000000000004	0.631812	0.124497	0.100578	0.105727	0.047244	0.577064	0.522848
2783	0.7601859999999999	0.11488499999999999	0.095239	0.133733	0.721888	0.214684	0.32857800000000004	0.275039	0.382484	0.519374	0.245479	0.279142	0.065175	0.170413	0.260522	0.153821	0.048602	0.089387	0.061675	0.645648	0.18171400000000001	0.165675	0.328252	0.060496	0.080881	0.093961	0.203801	0.765804	0.274069	0.580394	0.059569000000000004	0.281843	0.142192	0.12182799999999999	0.221977	0.13664300000000001	0.019609	0.406402	0.119577	0.8474309999999999	0.028872000000000002	0.172466	0.041302	0.19158699999999998	0.12353499999999999	0.304458	0.081179	0.035647000000000005	0.141809	0.256714	0.10538299999999999	0.06816599999999999	0.135958	0.28170500000000004	0.091365	0.111624	0.174994	0.102596	0.37283099999999997	0.697616	0.117626	0.064524	0.109456	0.14812899999999998	0.117404	0.038131	0.344522	0.043470999999999996	0.13667200000000002	0.409808	0.152835	0.083578	0.090752	0.658517	0.546818	0.34920999999999996	0.095782	0.8540469999999999	0.143256	0.11328699999999998	0.101645	0.038537	0.35990700000000003	0.38818
2784	0.751891	0.102332	0.092338	0.141903	0.721888	0.282394	0.285943	0.372819	0.305761	0.412919	0.256062	0.34363699999999997	0.07802	0.159719	0.218257	0.26210700000000003	0.084338	0.078112	0.07796499999999999	0.48040900000000003	0.178748	0.15115699999999999	0.182312	0.060326	0.071637	0.101256	0.21259899999999998	0.8519190000000001	0.232116	0.5361640000000001	0.047857	0.248196	0.146128	0.134707	0.186889	0.068111	0.024868	0.42240900000000003	0.104273	0.814829	0.024869	0.193883	0.032652999999999995	0.283654	0.134793	0.310706	0.066965	0.04452	0.139976	0.297003	0.097504	0.0668	0.141774	0.294481	0.098812	0.07674199999999999	0.14266700000000002	0.102596	0.31016900000000003	0.697616	0.103414	0.067134	0.127112	0.151068	0.167821	0.061915	0.409983	0.035138	0.13667200000000002	0.161901	0.177503	0.103575	0.073712	0.796454	0.6415890000000001	0.338634	0.051869000000000005	0.612701	0.07226	0.11149400000000001	0.115684	0.03941	0.529284	0.350296
2785	0.40071100000000004	0.079428	0.07394500000000001	0.133245	0.703825	0.29886599999999997	0.319853	0.403154	0.3441	0.495418	0.26963899999999996	0.38853000000000004	0.114712	0.193401	0.14887	0.24641300000000002	0.174981	0.12411099999999999	0.040764999999999996	0.628834	0.177445	0.134849	0.148035	0.083692	0.088005	0.059529	0.183601	0.965551	0.195388	0.393621	0.079815	0.22060700000000003	0.141593	0.133996	0.192658	0.12012300000000001	0.019074	0.323441	0.14263699999999999	0.7904180000000001	0.023996	0.129644	0.039275	0.282124	0.10654100000000001	0.197319	0.067419	0.041231	0.10371400000000001	0.273973	0.093164	0.042855000000000004	0.117164	0.215865	0.072808	0.099457	0.07850599999999999	0.10881199999999999	0.268757	0.557703	0.127122	0.072109	0.11974800000000001	0.151152	0.11303599999999998	0.044786	0.214092	0.034344	0.151258	0.408582	0.13685	0.111186	0.056208	0.481446	0.408244	0.277623	0.18378599999999998	0.630827	0.088447	0.087422	0.10416700000000001	0.033500999999999996	0.576477	0.333785
2786	0.543157	0.117528	0.092338	0.127192	0.888697	0.282394	0.285584	0.372819	0.305761	0.345202	0.286391	0.343692	0.10346	0.13734000000000002	0.20698699999999998	0.257445	0.039080000000000004	0.078112	0.07796499999999999	0.540204	0.196603	0.160883	0.11711600000000001	0.067393	0.094192	0.08756	0.188389	0.752487	0.258777	0.5175930000000001	0.053693	0.278235	0.174323	0.165724	0.22536199999999998	0.146519	0.02503	0.623869	0.104273	0.817296	0.026523	0.132287	0.041967000000000004	0.21921999999999997	0.13527	0.294335	0.07231900000000001	0.04452	0.144902	0.270504	0.067308	0.07772000000000001	0.132078	0.274037	0.104931	0.08683300000000001	0.12673199999999998	0.121447	0.370019	0.654777	0.143868	0.064512	0.1235	0.17222	0.173792	0.061951	0.46741800000000006	0.038418	0.14064400000000002	0.381714	0.170505	0.11714000000000001	0.085143	0.821206	0.584583	0.38613600000000003	0.077923	0.616596	0.111017	0.111978	0.12469100000000001	0.036496	0.569654	0.423609
2787	0.399474	0.095416	0.058824	0.203334	0.8391850000000001	0.270951	0.340459	0.304374	0.305647	0.393282	0.27192	0.23144499999999998	0.08107400000000001	0.11938	0.19095499999999999	0.22845300000000002	0.078046	0.117375	0.071163	0.5137229999999999	0.256187	0.12018699999999999	0.135224	0.08063300000000001	0.085608	0.084338	0.197712	0.832364	0.183825	0.402564	0.060359	0.240431	0.110499	0.153947	0.16263	0.037126	0.020663	0.429803	0.11592000000000001	0.8223219999999999	0.019809	0.262667	0.047143	0.175573	0.090422	0.194744	0.058357000000000006	0.037495999999999995	0.13442300000000001	0.22313899999999998	0.08998099999999999	0.03961	0.103582	0.263563	0.059349	0.095773	0.094098	0.12391400000000001	0.48136	0.703125	0.10405199999999999	0.06804500000000001	0.162456	0.145921	0.107526	0.045751	0.219342	0.04478	0.095665	0.180267	0.20481100000000002	0.09185800000000001	0.071462	0.453039	0.440353	0.36794899999999997	0.131671	0.8555659999999999	0.094045	0.10116699999999999	0.07796900000000001	0.030001	0.620406	0.416804
